D:\GP\data\IMG\center_2019_10_08_16_30_47_042.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_042.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_042.jpg, 0, 0, 0, 7.984608E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_148.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_148.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_148.jpg, 0, 0, 0, 7.860114E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_251.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_251.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_251.jpg, 0, 0, 0, 7.819883E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_368.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_368.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_368.jpg, 0, 0, 0, 8.121258E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_479.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_479.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_479.jpg, 0, 0, 0, 7.750079E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_592.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_592.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_592.jpg, 0, 0, 0, 7.775857E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_698.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_698.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_698.jpg, 0, 0, 0, 8.05368E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_804.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_804.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_804.jpg, 0, 0, 0, 8.198372E-05
D:\GP\data\IMG\center_2019_10_08_16_30_47_912.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_47_912.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_47_912.jpg, 0, 0, 0, 8.006452E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_012.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_012.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_012.jpg, 0, 0, 0, 7.849132E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_128.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_128.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_128.jpg, 0, 0, 0, 7.854919E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_229.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_229.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_229.jpg, 0, 0, 0, 8.067816E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_334.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_334.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_334.jpg, 0, 0, 0, 7.962915E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_440.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_440.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_440.jpg, 0, 0, 0, 7.914243E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_550.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_550.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_550.jpg, -0.126075, 0, 0, 8.27167E-05
D:\GP\data\IMG\center_2019_10_08_16_30_48_659.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_659.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_659.jpg, -0.4484751, 0.1103483, 0, 0.03320261
D:\GP\data\IMG\center_2019_10_08_16_30_48_768.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_768.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_768.jpg, -0.1200308, 0.4387926, 0, 0.5101131
D:\GP\data\IMG\center_2019_10_08_16_30_48_875.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_875.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_875.jpg, 0, 0.7597787, 0, 1.188585
D:\GP\data\IMG\center_2019_10_08_16_30_48_985.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_48_985.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_48_985.jpg, 0, 1, 0, 2.338447
D:\GP\data\IMG\center_2019_10_08_16_30_49_097.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_097.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_097.jpg, 0, 1, 0, 3.742037
D:\GP\data\IMG\center_2019_10_08_16_30_49_200.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_200.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_200.jpg, 0, 1, 0, 4.911512
D:\GP\data\IMG\center_2019_10_08_16_30_49_305.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_305.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_305.jpg, -0.279404, 1, 0, 6.053915
D:\GP\data\IMG\center_2019_10_08_16_30_49_409.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_409.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_409.jpg, -0.003315281, 1, 0, 7.425456
D:\GP\data\IMG\center_2019_10_08_16_30_49_514.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_514.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_514.jpg, 0, 1, 0, 8.556613
D:\GP\data\IMG\center_2019_10_08_16_30_49_624.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_624.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_624.jpg, 0, 1, 0, 9.678072
D:\GP\data\IMG\center_2019_10_08_16_30_49_734.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_734.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_734.jpg, -0.3265207, 1, 0, 10.97716
D:\GP\data\IMG\center_2019_10_08_16_30_49_839.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_839.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_839.jpg, -0.607667, 1, 0, 12.06624
D:\GP\data\IMG\center_2019_10_08_16_30_49_943.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_49_943.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_49_943.jpg, -0.2962352, 1, 0, 12.99075
D:\GP\data\IMG\center_2019_10_08_16_30_50_047.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_047.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_047.jpg, 0, 1, 0, 14.2751
D:\GP\data\IMG\center_2019_10_08_16_30_50_158.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_158.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_158.jpg, 0, 1, 0, 15.41934
D:\GP\data\IMG\center_2019_10_08_16_30_50_262.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_262.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_262.jpg, -0.2752287, 1, 0, 16.37871
D:\GP\data\IMG\center_2019_10_08_16_30_50_368.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_368.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_368.jpg, -0.3283143, 1, 0, 17.57414
D:\GP\data\IMG\center_2019_10_08_16_30_50_469.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_469.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_469.jpg, -0.0253699, 1, 0, 18.59172
D:\GP\data\IMG\center_2019_10_08_16_30_50_576.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_576.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_576.jpg, 0, 1, 0, 19.62968
D:\GP\data\IMG\center_2019_10_08_16_30_50_751.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_751.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_751.jpg, 0, 1, 0, 21.41603
D:\GP\data\IMG\center_2019_10_08_16_30_50_849.jpg, D:\GP\data\IMG\left_2019_10_08_16_30_50_849.jpg, D:\GP\data\IMG\right_2019_10_08_16_30_50_849.jpg, 0, 1, 0, 22.41954
